LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
,SepPV,MODULE,val,OpAtr,And,fun,Type,infix,ConstInt,Id,nonfix,BeginP,EndP,SepV,Bar,TypeConst,PREFCON,BeginC,EndC,OpLogAndAlso,OpLogOr,InsSIf,InsSThen,InsSElse,InsInWh,InsInDo,InsInCase,Of,Fn,Arrow,OpArMult,OpArdiv,Div,Mod,OpArAd,OpArExp,At,OpReI,OpReD,op,OpMinus,OpLogNot,Abs,DoubleP,ConstBool,TypeInt,TypeChar,TypeString,TypeBool,List,Asp,$,S,INICIAL,DEC,CONTDEC,CONTFBIND,CONTID,TVARS,CONTTVARS,TBINDS,CONTTBINDS,FBIND,CONTAPAT,CONTFBINDD,EXP,CONTEXP,MATCH,CONTMATCH,PAT,APAT,INFIXFN,PREFIXFN,INFIXCON,MONOCON,TYPE,TVAR
40,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,71,39,,,41,,,
41,,,,r47,,,,,,s46,,s43,r47,,,s42,s40,s44,r47,,,,,,,,,,,r47,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,72,39,,,41,,,
42,,,,r46,,,,,,r46,,r46,r46,,,r46,,r46,r46,,,,,,,,,,,r46,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,73,74,,,41,,,
44,,,,,,,,,,s46,,s43,,,,s42,s40,s44,s75,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,76,39,,,41,,,
45,r67,,,r67,r67,,,,,r67,,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,,,,,,,,,,r67,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,r68,,,r68,r68,,,,,r68,,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,77,39,,,41,,,
48,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,r16,,r16,,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,s51,,,,,,,,,,,,,,,,,,,73,74,,,41,,,79
51,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,
53,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,79
55,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,85,,,
56,r11,r11,r11,,,r11,r11,r11,,,r11,r11,,,,r11,r11,r11,,r11,r11,r11,,,r11,,r11,,r11,,,,,,,,,,,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,
62,r63,,,,r63,,,,,,,r63,,r63,r63,r63,r63,r63,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,7,,,,
65,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,7,,,,
66,,,,,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,7,,,,
68,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,7,,,,
69,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,98,,38,39,,,41,,,
70,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,7,,,,
71,,,,r44,,,,,,,,,r44,,,,,,r44,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,r45,,,,,,,,,r45,,,,,,r45,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r43,,,,,,,,,s101,,,,,,r43,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,85,,,
76,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,7,,,,
79,,,,,,,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,
80,,,,,,,,,,r75,,r75,,r75,,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,
82,r9,r9,r9,,,r9,r9,r9,,,r9,r9,,,,r9,r9,r9,,r9,r9,r9,,,r9,,r9,,r9,,,,,,,,,,,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,
84,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,110,,,,,,,111,,,85,,,
85,,,,r47,,,,,,r47,,r47,r47,,,r47,,r47,r47,,,,,,,,,,,r47,,,,,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s114,s115,s116,s117,s118,,,,,,,,,,,,,,,,,,,,,,,,,,113,
88,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,
89,r13,r13,r13,,,r13,r13,r13,,,r13,r13,,,,r13,r13,r13,,r13,r13,r13,,,r13,,r13,,r13,,,,,,,,,,,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,
